### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,431,354,19.1244,0,255,0,0,100,1,1
1,388,700,81.735,0,255,0,0,100,1,1
2,365,810,-125.863,0,255,0,0,100,1,1
3,319,123,-143.428,0,255,0,0,100,1,1
4,794,147,163.104,0,255,0,0,100,1,1
5,741,429,-90.3575,0,255,0,0,100,1,1
6,213,563,-127.847,0,255,0,0,100,1,1
7,543,361,-106.594,0,255,0,0,100,1,1
8,395,740,77.5562,0,255,0,0,100,1,1
9,484,740,57.9961,0,255,0,0,100,1,1
10,702,283,-108.893,0,255,0,0,100,1,1
11,409,524,-38.1779,0,255,0,0,100,1,1
12,194,655,-68.4196,0,255,0,0,100,1,1
13,690,388,17.8015,0,255,0,0,100,1,1
14,109,761,-163.133,0,255,0,0,100,1,1
15,831,576,5.366,0,255,0,0,100,1,1
16,844,303,154.999,0,255,0,0,100,1,1
17,353,241,27.0215,0,255,0,0,100,1,1
18,98,664,54.0613,0,255,0,0,100,1,1
19,600,193,119.541,0,255,0,0,100,1,1
20,78,570,103.457,0,255,0,0,100,1,1
21,581,760,81.2993,0,255,0,0,100,1,1
22,568,93,-29.475,0,255,0,0,100,1,1
23,215,553,-137.989,0,255,0,0,100,1,1
24,575,259,-2.02937,0,255,0,0,100,1,1
25,261,471,178.618,0,255,0,0,100,1,1
26,923,326,28.0337,0,255,0,0,100,1,1
27,164,637,136.067,0,255,0,0,100,1,1
28,366,238,60.2155,0,255,0,0,100,1,1
29,897,680,61.3848,0,255,0,0,100,1,1
30,332,300,-61.8301,0,255,0,0,100,1,1
31,483,394,158.151,0,255,0,0,100,1,1
32,501,905,41.5622,0,255,0,0,100,1,1
33,388,558,128.882,0,255,0,0,100,1,1
34,475,656,-89.3532,0,255,0,0,100,1,1
35,849,313,-122.751,0,255,0,0,100,1,1
36,813,323,124.405,0,255,0,0,100,1,1
37,732,778,100.03,0,255,0,0,100,1,1
38,494,828,72.579,0,255,0,0,100,1,1
39,776,377,88.5634,0,255,0,0,100,1,1
40,539,219,0.157924,0,255,0,0,100,1,1
41,348,308,-176.27,0,255,0,0,100,1,1
42,275,879,132.476,0,255,0,0,100,1,1
43,683,884,-82.8263,0,255,0,0,100,1,1
