### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,319,93,62.5175,0,255,0,0,100,1,1
1,399,822,79.5834,0,255,0,0,100,1,1
2,853,674,67.2362,0,255,0,0,100,1,1
3,229,787,-16.5725,0,255,0,0,100,1,1
4,600,376,62.7683,0,255,0,0,100,1,1
5,601,219,153.322,0,255,0,0,100,1,1
6,384,151,158.246,0,255,0,0,100,1,1
7,344,361,8.22266,0,255,0,0,100,1,1
8,736,196,164.365,0,255,0,0,100,1,1
9,781,590,52.7605,0,255,0,0,100,1,1
10,421,202,145.862,0,255,0,0,100,1,1
11,266,100,-174.423,0,255,0,0,100,1,1
12,771,459,-80.7579,0,255,0,0,100,1,1
13,330,94,-17.5749,0,255,0,0,100,1,1
14,580,638,66.7698,0,255,0,0,100,1,1
15,393,800,-134.83,0,255,0,0,100,1,1
16,206,654,167.667,0,255,0,0,100,1,1
17,547,245,70.1799,0,255,0,0,100,1,1
18,540,960,-82.5935,0,255,0,0,100,1,1
19,664,875,-95.2613,0,255,0,0,100,1,1
20,627,159,109.744,0,255,0,0,100,1,1
21,425,601,121.42,0,255,0,0,100,1,1
22,704,317,22.5047,0,255,0,0,100,1,1
23,64,406,-18.837,0,255,0,0,100,1,1
24,757,669,140.189,0,255,0,0,100,1,1
25,415,662,176.621,0,255,0,0,100,1,1
26,48,428,147.119,0,255,0,0,100,1,1
27,418,261,62.036,0,255,0,0,100,1,1
28,434,703,-91.3874,0,255,0,0,100,1,1
29,930,517,110.31,0,255,0,0,100,1,1
30,309,354,-118.507,0,255,0,0,100,1,1
31,601,288,-178.618,0,255,0,0,100,1,1
32,880,695,-54.6123,0,255,0,0,100,1,1
33,165,269,96.1097,0,255,0,0,100,1,1
34,417,127,174.989,0,255,0,0,100,1,1
35,308,349,-170.074,0,255,0,0,100,1,1
36,124,642,-28.1176,0,255,0,0,100,1,1
37,927,319,-22.733,0,255,0,0,100,1,1
38,168,418,85.7275,0,255,0,0,100,1,1
39,170,777,-75.7398,0,255,0,0,100,1,1
40,480,510,-172.456,0,255,0,0,100,1,1
41,749,570,-153.304,0,255,0,0,100,1,1
42,567,783,49.0115,0,255,0,0,100,1,1
43,251,497,57.1686,0,255,0,0,100,1,1
44,766,677,75.7416,0,255,0,0,100,1,1
45,833,174,-121.399,0,255,0,0,100,1,1
46,745,695,55.3081,0,255,0,0,100,1,1
47,381,228,141.176,0,255,0,0,100,1,1
48,707,197,132.804,0,255,0,0,100,1,1
49,454,330,-157.961,0,255,0,0,100,1,1
50,432,616,-19.5842,0,255,0,0,100,1,1
51,594,627,-34.9693,0,255,0,0,100,1,1
52,554,675,-71.4338,0,255,0,0,100,1,1
53,314,633,-41.7984,0,255,0,0,100,1,1
54,442,920,1.57041,0,255,0,0,100,1,1
55,856,554,111.878,0,255,0,0,100,1,1
56,91,625,-171.049,0,255,0,0,100,1,1
57,623,403,-46.7504,0,255,0,0,100,1,1
58,735,648,6.0681,0,255,0,0,100,1,1
59,717,174,-46.1616,0,255,0,0,100,1,1
60,268,770,-20.3712,0,255,0,0,100,1,1
61,175,385,131.523,0,255,0,0,100,1,1
62,760,568,21.0806,0,255,0,0,100,1,1
63,650,862,57.6481,0,255,0,0,100,1,1
64,845,467,-22.5139,0,255,0,0,100,1,1
65,289,159,-108.61,0,255,0,0,100,1,1
66,956,456,58.4635,0,255,0,0,100,1,1
67,656,500,-125.189,0,255,0,0,100,1,1
68,305,241,110.85,0,255,0,0,100,1,1
69,328,274,-162.058,0,255,0,0,100,1,1
70,391,239,26.758,0,255,0,0,100,1,1
71,522,736,74.3078,0,255,0,0,100,1,1
72,358,225,36.0513,0,255,0,0,100,1,1
73,671,659,-150.257,0,255,0,0,100,1,1
74,712,539,-99.2673,0,255,0,0,100,1,1
75,338,913,144.888,0,255,0,0,100,1,1
76,411,337,100.517,0,255,0,0,100,1,1
77,288,786,1.52089,0,255,0,0,100,1,1
78,50,618,54.9598,0,255,0,0,100,1,1
79,810,799,144.196,0,255,0,0,100,1,1
80,458,853,-94.8961,0,255,0,0,100,1,1
81,616,78,-110.012,0,255,0,0,100,1,1
82,410,804,90.4121,0,255,0,0,100,1,1
83,358,632,-142.009,0,255,0,0,100,1,1
84,428,28,-51.6651,0,255,0,0,100,1,1
85,471,771,-42.613,0,255,0,0,100,1,1
86,266,550,-83.6622,0,255,0,0,100,1,1
87,119,756,21.9564,0,255,0,0,100,1,1
88,851,799,96.6844,0,255,0,0,100,1,1
89,240,175,160.891,0,255,0,0,100,1,1
90,619,897,65.1924,0,255,0,0,100,1,1
91,290,234,-44.7229,0,255,0,0,100,1,1
92,560,723,-168.052,0,255,0,0,100,1,1
93,485,179,-84.4284,0,255,0,0,100,1,1
94,290,583,-85.5335,0,255,0,0,100,1,1
95,134,741,18.2082,0,255,0,0,100,1,1
96,473,150,-123.538,0,255,0,0,100,1,1
97,207,181,-163.557,0,255,0,0,100,1,1
98,738,318,64.6706,0,255,0,0,100,1,1
99,695,646,-67.976,0,255,0,0,100,1,1
100,298,567,148.674,0,255,0,0,100,1,1
101,320,636,-140.354,0,255,0,0,100,1,1
102,179,274,-169.779,0,255,0,0,100,1,1
103,855,724,-11.4618,0,255,0,0,100,1,1
104,328,204,-151.444,0,255,0,0,100,1,1
105,916,617,-57.7197,0,255,0,0,100,1,1
106,256,272,45.6437,0,255,0,0,100,1,1
107,671,436,-127.823,0,255,0,0,100,1,1
