### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,616,516,36.7712,0,255,0,0,100,1,1
1,385,38,-34.5231,0,255,0,0,100,1,1
2,237,545,-179.595,0,255,0,0,100,1,1
3,197,305,-110.249,0,255,0,0,100,1,1
4,937,615,132.209,0,255,0,0,100,1,1
5,269,878,-33.9209,0,255,0,0,100,1,1
6,826,171,-78.3609,0,255,0,0,100,1,1
7,820,263,-132.592,0,255,0,0,100,1,1
8,418,598,-110.528,0,255,0,0,100,1,1
9,813,248,-173.906,0,255,0,0,100,1,1
10,887,457,-28.1667,0,255,0,0,100,1,1
11,164,221,106.751,0,255,0,0,100,1,1
12,463,97,-46.7718,0,255,0,0,100,1,1
13,476,282,-56.3791,0,255,0,0,100,1,1
14,939,427,148.264,0,255,0,0,100,1,1
15,524,574,-167.268,0,255,0,0,100,1,1
16,882,355,-164.047,0,255,0,0,100,1,1
17,551,320,37.7167,0,255,0,0,100,1,1
18,396,222,176.955,0,255,0,0,100,1,1
19,105,646,-13.4373,0,255,0,0,100,1,1
20,828,565,-95.9664,0,255,0,0,100,1,1
21,483,755,-139.938,0,255,0,0,100,1,1
22,793,826,141.877,0,255,0,0,100,1,1
23,108,579,79.6926,0,255,0,0,100,1,1
24,495,81,-163.446,0,255,0,0,100,1,1
25,366,939,-137.855,0,255,0,0,100,1,1
26,292,783,-148.023,0,255,0,0,100,1,1
27,434,937,156.326,0,255,0,0,100,1,1
28,507,204,-91.0995,0,255,0,0,100,1,1
29,296,428,-106.722,0,255,0,0,100,1,1
30,146,287,24.2749,0,255,0,0,100,1,1
31,859,617,80.7254,0,255,0,0,100,1,1
32,422,808,82.7692,0,255,0,0,100,1,1
33,89,389,107.943,0,255,0,0,100,1,1
34,426,121,85.2916,0,255,0,0,100,1,1
35,422,555,18.6276,0,255,0,0,100,1,1
36,596,409,130.004,0,255,0,0,100,1,1
37,295,282,156.25,0,255,0,0,100,1,1
38,742,788,-176.908,0,255,0,0,100,1,1
39,676,125,-176.676,0,255,0,0,100,1,1
40,540,95,85.228,0,255,0,0,100,1,1
41,604,366,30.1108,0,255,0,0,100,1,1
42,475,313,171.032,0,255,0,0,100,1,1
43,412,76,-168.949,0,255,0,0,100,1,1
44,585,691,-68.342,0,255,0,0,100,1,1
45,148,565,-135.225,0,255,0,0,100,1,1
46,369,410,-39.9665,0,255,0,0,100,1,1
47,867,459,150.038,0,255,0,0,100,1,1
48,281,646,-105.863,0,255,0,0,100,1,1
49,775,580,-116.462,0,255,0,0,100,1,1
50,580,366,-6.10011,0,255,0,0,100,1,1
51,631,280,58.1393,0,255,0,0,100,1,1
52,637,907,-108.346,0,255,0,0,100,1,1
53,523,943,16.5422,0,255,0,0,100,1,1
54,938,417,54.0368,0,255,0,0,100,1,1
55,828,832,-69.677,0,255,0,0,100,1,1
56,130,467,-1.19914,0,255,0,0,100,1,1
57,622,644,-98.405,0,255,0,0,100,1,1
58,89,328,-119.92,0,255,0,0,100,1,1
59,660,221,157.057,0,255,0,0,100,1,1
60,823,772,-117.763,0,255,0,0,100,1,1
61,463,32,-128.059,0,255,0,0,100,1,1
62,665,527,55.838,0,255,0,0,100,1,1
63,351,845,32.4603,0,255,0,0,100,1,1
64,157,223,-75.4845,0,255,0,0,100,1,1
65,591,601,8.35688,0,255,0,0,100,1,1
66,464,270,174.094,0,255,0,0,100,1,1
67,574,34,-114.441,0,255,0,0,100,1,1
68,196,455,29.8516,0,255,0,0,100,1,1
69,800,154,179.522,0,255,0,0,100,1,1
70,684,735,26.2828,0,255,0,0,100,1,1
71,297,682,-46.6201,0,255,0,0,100,1,1
72,868,291,105.799,0,255,0,0,100,1,1
73,966,454,-36.6657,0,255,0,0,100,1,1
74,622,146,96.553,0,255,0,0,100,1,1
75,342,779,4.12311,0,255,0,0,100,1,1
76,486,905,125.931,0,255,0,0,100,1,1
77,823,697,43.1647,0,255,0,0,100,1,1
78,506,632,-155.426,0,255,0,0,100,1,1
79,758,567,-94.2045,0,255,0,0,100,1,1
80,503,311,93.2301,0,255,0,0,100,1,1
81,651,919,-132.357,0,255,0,0,100,1,1
82,594,679,65.1804,0,255,0,0,100,1,1
83,727,563,170.622,0,255,0,0,100,1,1
84,188,260,-96.1866,0,255,0,0,100,1,1
85,284,753,-13.2266,0,255,0,0,100,1,1
86,457,562,79.7851,0,255,0,0,100,1,1
87,243,438,158.909,0,255,0,0,100,1,1
88,360,215,164.247,0,255,0,0,100,1,1
89,354,361,-149.909,0,255,0,0,100,1,1
90,173,611,-48.9811,0,255,0,0,100,1,1
91,679,438,147.42,0,255,0,0,100,1,1
92,298,722,112.345,0,255,0,0,100,1,1
93,767,579,140.102,0,255,0,0,100,1,1
94,702,141,131.843,0,255,0,0,100,1,1
95,474,888,-128.334,0,255,0,0,100,1,1
96,297,86,113.527,0,255,0,0,100,1,1
97,951,476,60.7066,0,255,0,0,100,1,1
98,718,114,-109.26,0,255,0,0,100,1,1
99,272,789,-62.5203,0,255,0,0,100,1,1
100,448,26,-80.1078,0,255,0,0,100,1,1
101,329,736,63.6334,0,255,0,0,100,1,1
102,885,602,17.1037,0,255,0,0,100,1,1
103,687,337,2.74249,0,255,0,0,100,1,1
104,791,565,-5.98631,0,255,0,0,100,1,1
105,588,889,-54.9024,0,255,0,0,100,1,1
106,444,144,37.9421,0,255,0,0,100,1,1
107,548,298,-8.76021,0,255,0,0,100,1,1
108,837,812,-85.5077,0,255,0,0,100,1,1
109,581,47,-62.8784,0,255,0,0,100,1,1
110,107,310,50.9919,0,255,0,0,100,1,1
111,574,565,72.5985,0,255,0,0,100,1,1
112,233,238,54.8889,0,255,0,0,100,1,1
113,411,272,-126.914,0,255,0,0,100,1,1
114,544,552,-20.3683,0,255,0,0,100,1,1
115,391,603,123.214,0,255,0,0,100,1,1
116,637,633,-98.8637,0,255,0,0,100,1,1
117,688,70,-26.1576,0,255,0,0,100,1,1
118,246,128,36.3533,0,255,0,0,100,1,1
119,546,774,-27.9578,0,255,0,0,100,1,1
120,135,759,6.71408,0,255,0,0,100,1,1
121,148,679,56.3782,0,255,0,0,100,1,1
122,862,589,58.2644,0,255,0,0,100,1,1
123,586,939,43.6188,0,255,0,0,100,1,1
124,109,563,160.842,0,255,0,0,100,1,1
125,449,919,-80.9252,0,255,0,0,100,1,1
126,792,719,172.093,0,255,0,0,100,1,1
127,529,229,21.6027,0,255,0,0,100,1,1
128,716,856,165.446,0,255,0,0,100,1,1
129,170,526,-67.5339,0,255,0,0,100,1,1
130,691,737,171.685,0,255,0,0,100,1,1
131,176,719,128.391,0,255,0,0,100,1,1
132,822,709,100.485,0,255,0,0,100,1,1
133,756,723,108.936,0,255,0,0,100,1,1
134,546,383,-37.7434,0,255,0,0,100,1,1
135,814,716,31.5936,0,255,0,0,100,1,1
136,230,145,64.9646,0,255,0,0,100,1,1
137,690,646,149.234,0,255,0,0,100,1,1
138,785,680,38.5422,0,255,0,0,100,1,1
139,478,728,52.8185,0,255,0,0,100,1,1
140,578,619,-98.1901,0,255,0,0,100,1,1
141,953,378,92.3059,0,255,0,0,100,1,1
142,165,642,-54.1961,0,255,0,0,100,1,1
143,423,530,174.943,0,255,0,0,100,1,1
144,667,882,107.116,0,255,0,0,100,1,1
145,654,194,-18.2927,0,255,0,0,100,1,1
146,791,624,-65.6907,0,255,0,0,100,1,1
147,152,529,-56.361,0,255,0,0,100,1,1
148,917,718,141.192,0,255,0,0,100,1,1
149,613,901,-156.365,0,255,0,0,100,1,1
150,595,560,33.3828,0,255,0,0,100,1,1
151,160,673,43.8468,0,255,0,0,100,1,1
152,463,463,-89.0439,0,255,0,0,100,1,1
153,633,624,-65.7151,0,255,0,0,100,1,1
154,872,532,63.5294,0,255,0,0,100,1,1
155,658,603,144.159,0,255,0,0,100,1,1
156,473,636,-112.457,0,255,0,0,100,1,1
157,399,341,-0.365132,0,255,0,0,100,1,1
158,386,312,-108.138,0,255,0,0,100,1,1
159,466,846,39.2711,0,255,0,0,100,1,1
160,797,791,160.613,0,255,0,0,100,1,1
161,228,801,-86.7203,0,255,0,0,100,1,1
162,740,124,121.024,0,255,0,0,100,1,1
163,431,525,-162.795,0,255,0,0,100,1,1
164,380,290,126.678,0,255,0,0,100,1,1
165,402,96,-13.1633,0,255,0,0,100,1,1
166,403,497,-20.5099,0,255,0,0,100,1,1
167,790,781,155.689,0,255,0,0,100,1,1
168,277,770,-103.828,0,255,0,0,100,1,1
169,197,284,-110.55,0,255,0,0,100,1,1
170,637,605,-49.0012,0,255,0,0,100,1,1
171,488,849,-139.012,0,255,0,0,100,1,1
172,704,700,-61.0049,0,255,0,0,100,1,1
173,604,486,-132.423,0,255,0,0,100,1,1
174,457,298,121.269,0,255,0,0,100,1,1
175,644,569,157.742,0,255,0,0,100,1,1
176,221,466,99.8149,0,255,0,0,100,1,1
177,659,365,83.1333,0,255,0,0,100,1,1
178,180,424,165.376,0,255,0,0,100,1,1
179,697,638,61.8648,0,255,0,0,100,1,1
180,283,281,-30.806,0,255,0,0,100,1,1
181,354,236,27.5588,0,255,0,0,100,1,1
182,651,529,165.598,0,255,0,0,100,1,1
183,334,124,65.6858,0,255,0,0,100,1,1
184,341,72,65.0143,0,255,0,0,100,1,1
185,41,530,-45.1527,0,255,0,0,100,1,1
186,61,529,-16.9841,0,255,0,0,100,1,1
187,486,937,106.67,0,255,0,0,100,1,1
188,223,201,-140.202,0,255,0,0,100,1,1
189,721,719,-63.6371,0,255,0,0,100,1,1
190,806,577,88.8946,0,255,0,0,100,1,1
191,289,655,-142.365,0,255,0,0,100,1,1
192,414,526,-99.5849,0,255,0,0,100,1,1
