### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,285,77,-70.5061,0,255,0,0,100,1,1
1,424,796,-143.621,0,255,0,0,100,1,1
2,768,469,-51.8687,0,255,0,0,100,1,1
3,824,438,-16.3188,0,255,0,0,100,1,1
4,932,330,-15.959,0,255,0,0,100,1,1
5,40,365,-147.008,0,255,0,0,100,1,1
6,305,393,-38.1995,0,255,0,0,100,1,1
7,314,667,123.439,0,255,0,0,100,1,1
8,344,119,95.9237,0,255,0,0,100,1,1
9,93,399,128.228,0,255,0,0,100,1,1
10,670,862,139.934,0,255,0,0,100,1,1
11,840,768,126.417,0,255,0,0,100,1,1
12,290,845,10.9449,0,255,0,0,100,1,1
13,475,614,139.497,0,255,0,0,100,1,1
14,774,587,150.253,0,255,0,0,100,1,1
15,618,518,14.9502,0,255,0,0,100,1,1
16,622,842,-31.3564,0,255,0,0,100,1,1
17,573,44,149.732,0,255,0,0,100,1,1
18,433,594,170.475,0,255,0,0,100,1,1
19,291,252,176.448,0,255,0,0,100,1,1
20,520,338,84.2674,0,255,0,0,100,1,1
21,216,590,51.6577,0,255,0,0,100,1,1
22,267,715,-52.5047,0,255,0,0,100,1,1
23,735,231,-17.109,0,255,0,0,100,1,1
24,887,567,-112.501,0,255,0,0,100,1,1
25,688,285,117.378,0,255,0,0,100,1,1
26,625,403,115.677,0,255,0,0,100,1,1
27,491,477,-119.033,0,255,0,0,100,1,1
28,767,137,-79.0833,0,255,0,0,100,1,1
29,509,618,-113.916,0,255,0,0,100,1,1
30,865,456,166.205,0,255,0,0,100,1,1
31,794,779,124.261,0,255,0,0,100,1,1
32,385,380,-81.48,0,255,0,0,100,1,1
33,331,679,-78.5951,0,255,0,0,100,1,1
34,362,826,40.6495,0,255,0,0,100,1,1
35,559,498,164.126,0,255,0,0,100,1,1
36,729,770,179.373,0,255,0,0,100,1,1
37,135,340,-53.5327,0,255,0,0,100,1,1
38,33,552,93.9066,0,255,0,0,100,1,1
39,328,719,112.736,0,255,0,0,100,1,1
40,541,313,172.543,0,255,0,0,100,1,1
41,597,740,26.117,0,255,0,0,100,1,1
42,190,322,5.71124,0,255,0,0,100,1,1
43,675,879,158.558,0,255,0,0,100,1,1
44,708,690,44.7088,0,255,0,0,100,1,1
45,582,853,54.2049,0,255,0,0,100,1,1
46,394,545,104.714,0,255,0,0,100,1,1
47,215,237,162.84,0,255,0,0,100,1,1
48,551,747,150.894,0,255,0,0,100,1,1
49,191,343,-105.848,0,255,0,0,100,1,1
50,776,794,134.5,0,255,0,0,100,1,1
51,358,500,57.8034,0,255,0,0,100,1,1
52,396,533,-29.4774,0,255,0,0,100,1,1
53,660,285,45.562,0,255,0,0,100,1,1
54,482,141,77.646,0,255,0,0,100,1,1
55,138,775,-144.649,0,255,0,0,100,1,1
56,578,844,-7.83956,0,255,0,0,100,1,1
57,646,825,-133.764,0,255,0,0,100,1,1
58,487,563,93.4132,0,255,0,0,100,1,1
59,717,342,175.26,0,255,0,0,100,1,1
60,203,237,-128.317,0,255,0,0,100,1,1
61,800,400,14.643,0,255,0,0,100,1,1
62,274,360,-45.0796,0,255,0,0,100,1,1
63,651,946,148.113,0,255,0,0,100,1,1
